05-05-2023 01:45:07,Yawn
05-05-2023 01:45:15,Yawn
05-05-2023 01:47:11,Yawn
05-05-2023 14:31:53,Yawn
05-05-2023 14:33:02,Yawn
05-05-2023 15:19:41,Yawn
05-05-2023 15:19:51,Yawn
05-05-2023 15:20:06,Yawn
05-05-2023 15:26:03,Yawn
05-05-2023 15:26:06,Yawn
05-05-2023 15:48:06,Sleep
05-05-2023 15:48:19,Sleep
05-05-2023 15:48:23,Sleep
05-05-2023 15:49:10,Sleep
05-05-2023 15:49:14,Sleep
05-05-2023 15:53:23,Sleep
05-05-2023 15:53:37,Sleep
05-05-2023 15:54:03,Sleep
05-05-2023 15:54:08,Yawn
05-05-2023 15:54:20,Sleep
05-05-2023 15:54:23,Yawn
05-05-2023 15:54:25,Sleep
05-05-2023 15:54:29,Sleep
05-05-2023 16:33:31,Sleep
05-05-2023 16:33:33,Sleep
05-05-2023 16:33:50,Sleep
05-05-2023 16:33:58,Sleep
05-05-2023 16:35:28,Yawn
